mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1504.72,15.05,3.47,37060800,1461164,1180149,230.63020923879975,48914.96840609145,2.19489,465.52
1515.59,15.05,3.46,37061291,1461276,1171819,231.6259317077104,49126.153806602306,2.19489,465.52
1510.16,15.06,3.47,37064749,1461303,1180617,231.1205090386568,49018.95738177107,2.19489,465.52
1504.72,15.06,3.46,37070398,1461752,1175407,230.62220708033064,48913.2712072293,2.19489,465.52
1499.29,15.07,3.46,37076525,1461752,1181555,230.1168367722269,48806.0858877698,2.19489,465.52
1499.29,15.08,3.46,37075876,1462397,1182399,230.1088529802284,48804.392584300775,2.19489,465.52
1499.29,15.08,3.47,37081514,1462536,1181235,230.1088529802284,48804.392584300775,2.19489,465.52
1521.02,15.09,3.46,37082663,1462607,1181567,232.0911224198342,49224.81732974373,2.19489,465.52
1521.02,15.1,3.47,37082469,1462694,1181842,232.08307068965485,49223.109617087015,2.19489,465.52
1537.31,15.1,3.47,37084490,1462602,1181572,233.57502151148515,49539.54139570847,2.19489,465.52
1559.03,15.1,3.47,37090568,1462794,1182697,235.56428927392557,49961.45043387041,2.19489,465.52
1580.75,15.11,3.48,37089263,1462743,1182018,237.5453160887133,50381.61162774345,2.19489,465.52
1591.62,15.12,3.48,37089575,1462565,1182018,238.5325563925228,50590.998023521555,2.19489,465.52
1607.91,15.13,3.47,37090783,1462636,1182459,240.01607761782,50905.641946816264,2.19489,465.52
1624.2,15.14,3.47,37093497,1462463,1191914,241.49949592444324,51220.26404181842,2.19489,465.52
1640.49,15.14,3.47,37093855,1462463,1183746,242.99123973932615,51536.65191579127,2.19489,465.52
1656.78,15.14,3.47,37094525,1462574,1183746,244.48298355420903,51853.03978976412,2.19489,465.52
1673.07,15.15,3.46,37100814,1462769,1183746,245.96619546734487,52167.61811022802,2.19489,465.52
1689.37,15.16,3.45,37105722,1462913,1191938,247.45022016893768,52482.36881713611,2.19489,465.52
1700.23,15.16,3.45,37105955,1462913,1185304,248.44464705757048,52693.27943461413,2.19489,465.52
1711.09,15.17,3.45,37105955,1463030,1185304,249.43042247998713,52902.35513984008,2.19489,465.52
1738.24,15.18,3.45,37112959,1463030,1185304,251.90766638949884,53427.760324043345,2.19489,465.52
1754.53,15.19,3.45,37112415,1463263,1185540,253.39041504639243,53742.240391270905,2.19489,465.52
1765.4,15.2,3.45,37112415,1463147,1187018,254.3768319404087,53951.45214789764,2.19489,465.52
1776.26,15.2,3.45,37112415,1463372,1187018,255.37112088184003,54162.33350779044,2.19489,465.52
1792.55,15.21,3.45,37124781,1463757,1192236,256.85364658992637,54476.76628921837,2.19489,465.52
1803.41,15.22,3.45,37126050,1463825,1192236,257.83895948584416,54685.74389598119,2.19489,465.52
1819.7,15.22,3.44,37127795,1463773,1192236,259.33028945911667,55002.043997197114,2.19489,465.52
1830.56,15.22,3.45,37127383,1463596,1187696,260.3245094412983,55212.910731341064,2.19489,465.52
1857.72,15.23,3.44,37126580,1463571,1187696,262.8018615282608,55738.338859184725,2.19489,465.52
1863.15,15.23,3.45,37126304,1463331,1195960,263.29895428133267,55843.76857019986,2.19489,465.52
1868.58,15.24,3.45,37131391,1463684,1188009,263.78689983626884,55947.25822787469,2.19489,465.52
1868.58,15.24,3.45,37139735,1464008,1195044,263.78689983626884,55947.25822787469,2.19489,465.52
1868.58,15.24,3.44,37139735,1464269,1189333,263.78689983626884,55947.25822787469,2.19489,465.52
1863.15,15.24,3.43,37144463,1464555,1190805,263.2898243200205,55841.83217266284,2.19489,465.52
1874.01,15.25,3.44,37144463,1464865,1189590,264.2748115530944,56050.74070873552,2.19489,465.52
1906.59,15.26,3.44,37144463,1464813,1197878,267.2478946662655,56681.309735357994,2.19489,465.52
1917.45,15.27,3.44,37154573,1464929,1189475,268.2326763641889,56890.17467893935,2.19489,465.52
1928.32,15.27,3.46,37155908,1464706,1198661,269.2276393193933,57101.1989921882,2.19489,465.52
1939.18,15.28,3.46,37155962,1464862,1190747,270.2123182358324,57310.04213657391,2.19489,465.52
1971.76,15.28,3.46,37157274,1464652,1197659,273.19435772127144,57942.5107437759,2.19489,465.52
1971.76,15.29,3.46,37157138,1464720,1191101,273.1848862763358,57940.50192007793,2.19489,465.52
1971.76,15.29,3.46,37161652,1464853,1195537,273.1848862763358,57940.50192007793,2.19489,465.52
1971.76,15.29,3.45,37171439,1465557,1192018,273.1848862763358,57940.50192007793,2.19489,465.52
1993.48,15.29,3.45,37171439,1465439,1193462,275.17284367656964,58362.133040068846,2.19489,465.52
2026.07,15.29,3.45,37170095,1465497,1191497,278.1556950427585,58994.77384119702,2.19489,465.52
2042.36,15.3,3.47,37166244,1464894,1190224,279.6369682874878,59308.94098437339,2.19489,465.52
2053.22,15.3,3.47,37167182,1464919,1190542,280.6309125282981,59519.74923580377,2.19489,465.52
2064.08,15.31,3.47,37172150,1465245,1192061,281.6150937220042,59728.48681686435,2.19489,465.52
2069.51,15.31,3.47,37176900,1465242,1190832,282.1120486139506,59833.88728855036,2.19489,465.52
2074.94,15.31,3.47,37176900,1465700,1193619,282.60900350589696,59939.28776023635,2.19489,465.52
2085.8,15.32,3.47,37187563,1465910,1193619,283.59308201051334,60148.003561697464,2.19489,465.52
2102.1,15.32,3.45,37187279,1465910,1193619,285.084810175213,60464.38811638176,2.19489,465.52
2123.82,15.32,3.45,37184273,1465910,1193361,287.0725608339416,60885.97538802241,2.19489,465.52
2161.83,15.32,3.46,37183454,1465444,1193883,290.5511244867168,61623.75311339356,2.19489,465.52
2183.56,15.33,3.45,37183353,1465444,1194364,292.5296495857078,62043.383711775394,2.19489,465.52
2183.56,15.33,3.46,37190489,1465546,1195003,292.5296495857078,62043.383711775394,2.19489,465.52
2188.99,15.33,3.46,37203420,1466240,1195184,293.02657002432,62148.77687616302,2.19489,465.52
2194.42,15.34,3.46,37204784,1466312,1195587,293.5133159858113,62252.01210890517,2.19489,465.52
2205.28,15.35,3.46,37206499,1466315,1193419,294.4969141941366,62460.626043061144,2.19489,465.52
2210.71,15.35,3.45,37201522,1466315,1195306,294.9938001841916,62566.01190116356,2.19489,465.52
2221.57,15.35,3.45,37207662,1466374,1193165,295.9875721643016,62776.783617368375,2.19489,465.52
2210.71,15.35,3.45,37208304,1466543,1196555,294.9938001841916,62566.01190116356,2.19489,465.52
2205.28,15.36,3.45,37208183,1466430,1196087,294.48670668263986,62458.4611050679,2.19489,465.52
2188.99,15.36,3.45,37210335,1467167,1191832,292.9961003799377,62142.31448904892,2.19489,465.52
2183.56,15.36,3.45,37217611,1467447,1196394,292.4992316123703,62036.932283709255,2.19489,465.52
2178.13,15.36,3.46,37217611,1467235,1189915,292.002362844803,61931.5500783696,2.19489,465.52
2156.4,15.36,3.47,37210907,1467235,1195133,290.0139727307626,61509.82718296799,2.19489,465.52
2140.11,15.37,3.47,37212437,1467504,1191440,288.51336631138133,61191.55961586878,2.19489,465.52
2123.82,15.37,3.48,37212513,1467504,1194650,287.02281167256047,60875.42395737843,2.19489,465.52
2112.96,15.38,3.52,37209828,1467600,1193783,286.0191952570112,60662.5643089375,2.19489,465.52
2091.23,15.38,3.52,37209828,1467548,1193783,284.03094297197396,60240.8706460521,2.19489,465.52
2064.08,15.37,3.53,37208838,1467928,1191817,281.55652965149494,59716.06580893071,2.19489,465.52
2047.79,15.37,3.54,37213673,1467928,1191651,280.0659750126741,59399.93015044036,2.19489,465.52
2036.93,15.37,3.54,37210336,1468232,1191890,279.07227192012687,59189.17304478013,2.19489,465.52
2020.64,15.37,3.53,37210328,1468232,1191890,277.58171728130606,58873.03738628979,2.19489,465.52
2015.21,15.37,3.53,37208548,1468378,1191890,277.0848657350324,58767.65883345967,2.19489,465.52
1993.48,15.37,3.54,37200771,1467889,1196058,275.09654453788215,58345.950554822746,2.19489,465.52
1977.19,15.35,3.54,37189216,1467547,1195253,273.6249573853628,58033.83776045,2.19489,465.52
1960.9,15.35,3.53,37189216,1467637,1195253,272.13429941519786,57717.68018614277,2.19489,465.52
1950.04,15.35,3.53,37182541,1467379,1194227,271.1405274350879,57506.90846993795,2.19489,465.52
1939.18,15.34,3.54,37187869,1467786,1187874,270.15611961856956,57298.122823848345,2.19489,465.52
1933.75,15.34,3.53,37184645,1467672,1187289,269.659216404833,57192.73331272995,2.19489,465.52
1928.32,15.35,3.54,37181070,1467510,1186638,269.15298347486794,57085.36503752831,2.19489,465.52
1917.45,15.35,3.54,37178080,1467491,1186975,268.15829641926985,56874.3992405535,2.19489,465.52
1901.16,15.35,3.53,37177190,1467613,1191376,266.66763844910486,56558.24166624628,2.19489,465.52
1884.87,15.35,3.53,37177190,1467582,1191376,265.1769804789399,56242.084091939054,2.19489,465.52
1868.58,15.36,3.53,37175620,1467582,1186922,263.6771829183792,55923.98807783709,2.19489,465.52
1852.29,15.36,3.53,37178891,1467650,1187116,262.18657661567704,55607.84146181812,2.19489,465.52
1830.56,15.36,3.51,37177526,1467650,1187420,260.19818650163666,55186.118566416495,2.19489,465.52
1814.27,15.36,3.51,37177526,1467992,1187216,258.7075801989345,54869.971950397514,2.19489,465.52
1803.41,15.36,3.49,37167731,1467487,1183142,257.7138426637998,54659.2075397182,2.19489,465.52
1797.98,15.36,3.49,37163709,1467285,1185409,257.21697389623245,54553.82533437854,2.19489,465.52
1787.12,15.37,3.48,37163709,1467285,1180174,256.2143557553733,54341.17741264545,2.19489,465.52
1776.26,15.37,3.48,37161790,1467291,1186124,255.22065266282604,54130.420306985216,2.19489,465.52
1754.53,15.37,3.48,37161790,1467037,1186417,253.23233146567583,53708.7120283483,2.19489,465.52
1738.24,15.38,3.47,37160523,1467264,1181062,251.73305184931968,53390.72586639663,2.19489,465.52
1721.95,15.38,3.47,37159796,1467123,1186821,250.24254887079897,53074.60116467537,2.19489,465.52
1700.23,15.38,3.46,37159276,1467472,1179939,248.2552115661046,52653.101562380354,2.19489,465.52
1689.37,15.39,3.45,37159276,1467521,1179939,247.25297351114727,52440.53425406707,2.19489,465.52
1678.51,15.39,3.45,37150591,1467100,1179641,246.25933929661295,52229.79175692598,2.19489,465.52
1662.21,15.39,3.45,37155096,1467207,1186803,244.76797302617933,51913.48395734957,2.19489,465.52
1645.92,15.39,3.44,37155315,1467198,1186650,243.27752170437788,51597.370211637935,2.19489,465.52
1624.2,15.4,3.44,37151595,1467198,1187279,241.28189111092615,51174.111663891286,2.19489,465.52
1613.34,15.4,3.43,37154826,1467246,1187617,240.2882913318178,50963.37647025036,2.19489,465.52
1586.18,15.4,3.43,37147731,1467246,1186444,237.8033769671231,50436.34443900841,2.19489,465.52
1548.17,15.41,3.41,37152033,1467560,1180151,234.31765721842012,49697.04895840745,2.19489,465.52
1542.74,15.41,3.41,37152033,1467312,1185897,233.8208745453855,49591.68501308396,2.19489,465.52
1531.88,15.42,3.4,37143621,1467076,1186503,232.81924088628315,49379.245892679144,2.19489,465.52
1521.02,15.42,3.4,37141459,1467237,1186503,231.8257099708667,49168.525304519986,2.19489,465.52
1504.72,15.43,3.4,37141222,1467320,1178822,230.32651709273716,48850.5575391072,2.19489,465.52
1504.72,15.43,3.4,37146533,1467320,1186631,230.32651709273716,48850.5575391072,2.19489,465.52
1504.72,15.44,3.4,37142443,1467010,1186759,230.31853599439376,48848.864806942576,2.19489,465.52
1504.72,15.44,3.4,37142443,1467147,1188288,230.31853599439376,48848.864806942576,2.19489,465.52
1499.29,15.46,3.4,37149959,1467219,1188288,229.80587884858883,48740.13400288628,2.19489,465.52
1493.86,15.47,3.4,37155280,1467316,1188288,229.30123721973652,48633.10323092808,2.19489,465.52
1504.72,15.48,3.39,37163541,1467316,1188288,230.28661713135187,48842.09505122668,2.19489,465.52
1515.59,15.5,3.39,37169305,1467547,1191397,231.26483117326225,49049.567043349336,2.19489,465.52
1526.45,15.5,3.39,37167717,1467259,1196281,232.2580867293395,49260.22922982115,2.19489,465.52
1537.31,15.51,3.39,37168693,1467283,1192004,233.2432617982595,49469.17760449306,2.19489,465.52
1548.17,15.52,3.39,37178382,1467536,1192004,234.22836861103448,49678.111502539425,2.19489,465.52
1569.89,15.52,3.39,37178382,1468147,1194381,236.2147420912141,50099.40668475504,2.19489,465.52
1586.18,15.55,3.41,37210025,1468147,1205810,237.67982135041,50410.1392028953,2.19489,465.52
1602.48,15.57,3.42,37215258,1468401,1197188,239.1537934591794,50722.75782891954,2.19489,465.52
1618.77,15.59,3.42,37227301,1468800,1199304,240.6266470593852,51035.13922751709,2.19489,465.52
1624.2,15.62,3.42,37233585,1468920,1201053,241.098070021324,51135.12456493344,2.19489,465.52
1629.63,15.63,3.43,37233585,1468907,1201053,241.58612538329737,51238.63751187193,2.19489,465.52
1645.92,15.65,3.43,37243084,1469139,1201053,243.05850454494876,51550.91828554713,2.19489,465.52
1656.78,15.66,3.43,37244956,1468781,1210593,244.04279397819644,51759.67882341712,2.19489,465.52
1678.51,15.66,3.44,37249858,1468801,1204365,246.02911866155844,52180.96365618718,2.19489,465.52
1694.8,15.71,3.44,37249858,1468576,1213513,247.47533263531568,52487.69498625997,2.19489,465.52
1700.23,15.72,3.45,37251138,1468216,1205493,247.96301517349727,52591.128860018696,2.19489,465.52
1727.38,15.74,3.45,37262310,1468591,1207510,250.42692455198335,53113.70588842233,2.19489,465.52
1754.53,15.77,3.45,37262310,1466872,1207510,252.88173983966777,53634.35412715996,2.19489,465.52
1787.12,15.8,3.45,37254217,1467190,1209526,255.83307119757845,54260.309766729406,2.19489,465.52
1803.41,15.82,3.48,37242127,1466327,1218594,257.3035981137588,54572.197692785056,2.19489,465.52
1819.7,15.84,3.46,37236116,1465965,1209064,258.7739214897591,54884.04244946793,2.19489,465.52
1830.56,15.86,3.48,37238410,1465713,1219845,259.74803220506976,55090.644156246584,2.19489,465.52
1846.86,15.88,3.48,37251666,1466497,1212677,261.218896347293,55402.603605461714,2.19489,465.52
1874.01,15.9,3.48,37263862,1466758,1221949,263.68052465633093,55924.696835839226,2.19489,465.52
1884.87,15.92,3.48,37244642,1465548,1212977,264.654093708009,56131.183659751674,2.19489,465.52
1901.16,15.94,3.48,37253560,1465852,1212977,266.12339995353267,56442.8126905533,2.19489,465.52
1917.45,15.96,3.48,37269848,1466575,1212977,267.59250291224566,56754.39860571993,2.19489,465.52
1933.75,15.99,3.48,37271248,1466520,1225298,269.0530101010938,57064.16142142029,2.19489,465.52
1939.18,16.0,3.49,37256259,1465379,1216852,269.5394741440814,57167.336861324606,2.19489,465.52
1950.04,16.02,3.49,37256259,1465379,1216417,270.51230129343594,57373.66633321956,2.19489,465.52
1950.04,16.04,3.49,37258994,1465262,1227199,270.49359301850984,57369.69844592517,2.19489,465.52
1955.47,16.06,3.49,37275829,1466163,1217812,270.9705534841593,57470.85824708566,2.19489,465.52
1977.19,16.08,3.49,37279110,1466106,1225065,272.9343436216063,57887.36366867139,2.19489,465.52
1998.91,16.1,3.49,37267181,1465191,1219113,274.89786218911195,58303.81149227313,2.19489,465.52
1998.91,16.12,3.5,37267181,1465191,1219780,274.87885587237054,58299.78039250528,2.19489,465.52
2004.34,16.15,3.49,37280624,1465697,1220134,275.34586327802106,58398.82922296077,2.19489,465.52
2004.34,16.16,3.49,37283776,1465875,1220134,275.33634594839964,58396.81066745896,2.19489,465.52
2004.34,16.17,3.49,37284085,1465923,1222200,275.3268292766884,58394.792251495055,2.19489,465.52
1998.91,16.19,3.49,37284721,1465848,1222267,274.8123544556599,58285.675931914026,2.19489,465.52
1998.91,16.2,3.49,37285153,1465848,1222267,274.80285687990545,58283.661566061885,2.19489,465.52
1998.91,16.23,3.49,37285227,1465964,1223603,274.7743680910935,58277.61930382198,2.19489,465.52
1993.48,16.25,3.49,37283329,1465778,1223603,274.260038113579,58168.53370448328,2.19489,465.52
1993.48,16.27,3.49,37283329,1465480,1221542,274.2410857234116,58164.5140421445,2.19489,465.52
1998.91,16.3,3.49,37283329,1465856,1224731,274.7079172161017,58263.52556275697,2.19489,465.52
1993.48,16.32,3.49,37283662,1465570,1225289,274.19371620572,58154.46731639707,2.19489,465.52
1993.48,16.34,3.49,37282155,1465460,1224923,274.17477298030946,58150.449597835715,2.19489,465.52
2004.34,16.36,3.48,37286677,1465719,1226045,275.1461374264498,58356.46884115419,2.19489,465.52
2009.78,16.37,3.48,37286381,1465719,1219513,275.63268117484347,58459.66118598797,2.19489,465.52
2009.78,16.4,3.49,37287211,1465377,1227714,275.60412313500495,58453.60423611548,2.19489,465.52
2009.78,16.41,3.48,37286209,1465243,1228193,275.5946051034006,58451.58553172826,2.19489,465.52
2015.21,16.42,3.48,37287337,1465332,1228010,276.08013765884425,58554.563409986455,2.19489,465.52
