mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
1998.91,14.54,4.42,37007303,1434224,1148455,247.71694748375722,54877.5140877498
1998.91,14.54,4.43,37007303,1434280,1142223,247.71694748375722,54877.5140877498
1998.91,14.56,4.44,37011122,1434236,1150529,247.69972757847182,54873.699308000214
1998.91,14.58,4.45,37013717,1434152,1149745,247.68251006708417,54869.88505857832
1998.91,14.59,4.46,37013717,1434284,1149745,247.67390220894603,54867.97813270571
1998.91,14.62,4.46,37013717,1434297,1156720,247.6480822240057,54862.25815027535
1998.91,14.62,4.47,37020845,1434209,1151794,247.6480822240057,54862.25815027535
1993.48,14.64,4.47,37021686,1434248,1152503,247.1844323780614,54759.54434239485
1993.48,14.65,4.48,37022896,1434027,1152499,247.17584362085574,54757.641648011864
1993.48,14.66,4.48,37027504,1434013,1160011,247.1672554604853,54755.73908584765
1993.48,14.68,4.49,37029471,1434160,1154355,247.1500809300013,54751.93435812046
1993.48,14.69,4.5,37030070,1434127,1160792,247.14149455976332,54750.032192529914
1993.48,14.7,4.5,37031085,1434269,1160792,247.1329087861118,54748.13015910305
1960.9,14.71,4.5,37033996,1434286,1156682,244.44633790371435,54152.96566614412
1917.45,14.72,4.5,37044169,1435078,1155725,240.86650083670546,53359.91310727747
1895.73,14.73,4.51,37041408,1435052,1161691,239.072934159313,52962.57864306049
1863.15,14.74,4.5,37035908,1434977,1161691,236.38692320213949,52367.53819209658
1814.27,14.74,4.5,37035908,1434977,1154350,232.36954135275036,51477.55496214346
1765.4,14.75,4.45,37016578,1434599,1158045,228.34504971297218,50585.99667797543
1732.81,14.76,4.42,37009274,1434764,1152899,225.6587761255378,49990.898045704234
1700.23,14.76,4.41,37005489,1434534,1158844,222.98125549367688,49397.73848319662
1667.64,14.77,4.38,37003028,1434926,1151947,220.29526150015084,48802.70179024285
1629.63,14.77,4.37,36994515,1434676,1153246,217.17159592416118,48110.70633578154
1591.62,14.77,4.36,36990978,1434676,1154896,214.0479303481716,47418.71088132024
1575.32,14.77,4.35,36987472,1434437,1150908,212.70839472889693,47121.95934467938
1559.03,14.78,4.34,36987713,1434475,1150992,211.36233990131097,46823.76358732784
1526.45,14.78,4.33,36986464,1434568,1151434,208.6850052535873,46230.64522647079
1504.72,14.78,4.31,36985609,1434568,1151434,206.89929371598652,45835.05093606492
1483.0,14.79,4.3,36984317,1434762,1151103,205.10728043885737,45438.06060149148
1461.28,14.79,4.3,36983438,1434794,1151345,203.3224526619615,45042.662093372724
1455.85,14.79,4.29,36981638,1434762,1147312,202.8762457177376,44943.81246634304
1542.74,14.8,4.29,36980579,1434544,1147312,210.009085067633,46523.97278999312
1586.18,14.81,4.29,36975674,1433086,1150856,213.57119969920717,47313.099242026474
1618.77,14.82,4.33,36988765,1433537,1152921,216.24156767526063,47904.67425420831
1656.78,14.85,4.35,37005323,1433412,1154979,219.3418404030685,48591.48741747522
1738.24,14.86,4.37,37005323,1433456,1154979,226.02652359926194,50072.36629959249
1770.83,14.86,4.41,37036845,1433784,1158817,228.7039361129285,50665.50191033664
