mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1575.32,15.16,3.99,36907058,1448477,1163489,193.94291494917576,40991.831863283434,1.79608,379.62
1586.18,15.17,3.99,36915569,1448446,1163234,194.7499002791916,41162.39652130569,1.79608,379.62
1591.62,15.17,3.99,36918729,1448595,1166689,195.15750554605225,41248.54809106072,1.79608,379.62
1613.34,15.17,3.99,36919484,1448433,1162292,196.78492951594424,41592.52090265621,1.79608,379.62
1640.49,15.18,3.99,36917941,1447991,1167339,198.81231393467948,42021.02947300957,1.79608,379.62
1673.07,15.18,3.99,36915656,1447991,1167339,201.25336522486407,42536.9707956566,1.79608,379.62
1700.23,15.18,3.99,36905729,1446744,1168608,203.28832388175212,42967.080259226066,1.79608,379.62
1711.09,15.19,3.99,36905850,1446696,1161673,204.0949291264661,43137.564582306506,1.79608,379.62
1721.95,15.2,4.0,36910573,1446824,1170161,204.9014784249172,43308.03708056827,1.79608,379.62
1743.67,15.2,4.0,36913818,1446816,1168448,206.52873307724693,43651.97410515371,1.79608,379.62
1765.4,15.2,4.0,36905780,1446543,1168448,208.1567369260096,43996.0694801188,1.79608,379.62
1776.26,15.21,4.01,36899860,1445698,1171224,208.96311739532013,44166.50629460349,1.79608,379.62
1787.12,15.22,4.02,36899455,1445572,1174425,209.76944193783729,44336.93128838459,1.79608,379.62
1792.55,15.22,4.03,36901203,1445560,1172012,210.17622738621893,44422.909581063446,1.79608,379.62
1808.84,15.22,4.03,36910309,1446001,1173276,211.39658373136393,44680.84445910003,1.79608,379.62
1825.13,15.23,4.03,36905184,1445642,1173753,212.6095672718735,44937.22101896832,1.79608,379.62
1841.43,15.23,4.03,36902850,1445545,1179876,213.83063041786457,45195.30528664077,1.79608,379.62
1874.01,15.24,4.01,36905967,1445572,1174349,216.26375920941328,45709.572107633,1.79608,379.62
1901.16,15.26,4.01,36892758,1444643,1174446,218.2824073962477,46136.23418542802,1.79608,379.62
1912.02,15.27,4.01,36892276,1444487,1175087,219.0882690404668,46306.561340887936,1.79608,379.62
1933.75,15.27,4.01,36889171,1444105,1176362,220.715877770065,46650.57320334956,1.79608,379.62
1939.18,15.28,4.05,36895241,1444541,1175749,221.11492627740515,46734.916213881654,1.79608,379.62
1955.47,15.29,4.05,36899162,1444619,1174423,222.32732057079951,46991.16823030541,1.79608,379.62
1960.9,15.3,4.06,36903393,1444725,1176026,222.72628554408473,47075.49358505493,1.79608,379.62
1971.76,15.3,4.07,36907530,1445092,1177161,223.5396308014938,47247.40247921199,1.79608,379.62
1982.62,15.3,4.06,36912108,1445294,1177241,224.35297605890284,47419.31137336906,1.79608,379.62
1988.05,15.31,4.06,36916873,1445288,1177707,224.7518569782304,47503.61896244924,1.79608,379.62
2004.34,15.31,4.05,36922138,1445674,1178415,225.97183257016505,47761.473364374666,1.79608,379.62
2015.21,15.32,4.05,36931538,1446167,1178931,226.7780368616524,47931.87294186256,1.79608,379.62
2020.64,15.32,3.99,36936339,1446121,1183643,227.1846812952151,48017.821429607575,1.79608,379.62
2031.5,15.32,3.97,36941568,1446692,1179949,227.9979701623404,48189.718405097585,1.79608,379.62
2064.08,15.34,3.97,36939320,1445617,1178426,230.4218613166115,48702.032756342735,1.79608,379.62
2091.23,15.35,3.96,36939320,1445048,1178431,232.4468851645697,49130.04239575851,1.79608,379.62
2112.96,15.36,3.98,36913214,1444604,1179381,234.06592936040016,49472.244055829986,1.79608,379.62
2123.82,15.37,4.0,36914475,1444651,1179259,234.8709646446302,49642.39655159822,1.79608,379.62
2134.68,15.37,4.01,36925201,1445430,1180312,235.68411257024937,49814.26373764981,1.79608,379.62
