mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
2004.34,15.68,8.74,37141964,1410925,1189084,2.2981,450.1
2004.34,15.68,8.77,37143542,1410893,1188567,2.2981,450.1
2004.34,15.68,8.79,37141917,1410893,1189800,2.2981,450.1
2004.34,15.7,8.82,37144430,1410682,1182722,2.2981,450.1
2004.34,15.71,8.83,37144054,1410674,1190297,2.2981,450.1
2004.34,15.71,8.83,37144426,1410674,1190037,2.2981,450.1
2004.34,15.72,8.84,37144218,1410465,1183580,2.2981,450.1
2004.34,15.72,8.84,37145573,1410404,1189452,2.2981,450.1
2004.34,15.72,8.85,37146364,1410378,1184148,2.2981,450.1
1998.91,15.72,8.86,37146979,1410013,1190669,2.2981,450.1
2004.34,15.73,8.89,37146979,1409902,1191419,2.2981,450.1
1998.91,15.75,8.91,37146979,1409893,1191419,2.2981,450.1
1998.91,15.76,8.94,37148009,1409770,1183381,2.2981,450.1
1998.91,15.76,8.95,37151001,1409624,1183381,2.2981,450.1
1998.91,15.77,8.95,37151001,1409374,1192374,2.2981,450.1
1998.91,15.77,8.95,37150840,1409299,1188507,2.2981,450.1
1998.91,15.77,9.01,37151729,1409121,1192620,2.2981,450.1
1998.91,15.79,9.03,37151189,1408978,1192739,2.2981,450.1
1998.91,15.79,9.05,37151535,1408903,1192313,2.2981,450.1
1993.48,15.79,9.06,37152377,1408903,1196117,2.2981,450.1
1998.91,15.8,9.06,37152377,1408687,1196117,2.2981,450.1
1993.48,15.8,9.08,37154169,1408664,1200956,2.2981,450.1
1993.48,15.81,9.09,37155658,1408650,1193110,2.2981,450.1
1993.48,15.81,9.1,37155658,1408416,1194740,2.2981,450.1
1993.48,15.82,9.11,37155216,1408258,1198721,2.2981,450.1
1993.48,15.83,9.12,37155697,1408217,1200079,2.2981,450.1
1993.48,15.83,9.14,37156278,1408304,1194018,2.2981,450.1
1993.48,15.83,9.14,37156278,1408129,1194018,2.2981,450.1
2004.34,15.83,9.15,37158105,1407969,1194018,2.2981,450.1
2026.07,15.84,9.15,37156635,1407911,1194850,2.2981,450.1
2015.21,15.85,9.15,37156534,1407181,1194995,2.2981,450.1
1993.48,15.86,9.19,37160207,1407429,1195213,2.2981,450.1
1982.62,15.86,9.19,37160207,1408687,1187804,2.2981,450.1
1982.62,15.86,9.18,37172417,1408539,1196729,2.2981,450.1
1982.62,15.86,9.18,37172417,1408255,1193535,2.2981,450.1
1977.19,15.87,9.17,37160928,1408023,1195388,2.2981,450.1
1977.19,15.87,9.18,37161602,1407906,1195388,2.2981,450.1
1977.19,15.87,9.18,37161910,1408039,1195665,2.2981,450.1
1982.62,15.87,9.18,37161910,1407849,1195665,2.2981,450.1
1977.19,15.88,9.21,37164704,1407492,1201387,2.2981,450.1
1977.19,15.89,9.22,37163784,1407719,1201387,2.2981,450.1
1977.19,15.89,9.22,37165519,1407662,1201387,2.2981,450.1
1977.19,15.9,9.24,37167041,1407785,1197255,2.2981,450.1
1977.19,15.9,9.24,37167904,1407642,1197255,2.2981,450.1
1977.19,15.91,9.26,37167904,1407370,1197649,2.2981,450.1
1977.19,15.91,9.26,37169935,1407591,1188775,2.2981,450.1
1977.19,15.91,9.27,37170835,1407448,1198461,2.2981,450.1
1977.19,15.92,9.27,37172681,1407511,1194813,2.2981,450.1
1977.19,15.92,9.3,37172314,1407511,1194813,2.2981,450.1
1977.19,15.94,9.3,37172593,1407191,1205193,2.2981,450.1
1977.19,15.94,9.32,37174240,1407205,1199132,2.2981,450.1
1977.19,15.94,9.33,37175749,1407028,1198359,2.2981,450.1
1977.19,15.95,9.33,37174287,1406786,1198359,2.2981,450.1
1993.48,15.95,9.34,37174287,1407004,1199447,2.2981,450.1
2020.64,15.96,9.35,37175990,1406769,1199447,2.2981,450.1
2009.78,15.96,9.38,37175990,1405867,1200192,2.2981,450.1
1998.91,15.98,9.38,37191941,1406987,1191073,2.2981,450.1
1993.48,15.99,9.38,37195585,1407310,1201190,2.2981,450.1
1993.48,15.99,9.38,37194233,1407094,1201190,2.2981,450.1
1988.05,15.99,9.37,37189917,1407045,1200683,2.2981,450.1
1988.05,16.0,9.36,37188827,1407045,1201984,2.2981,450.1
1993.48,16.0,9.36,37190213,1407119,1201244,2.2981,450.1
1993.48,16.01,9.36,37190719,1407130,1201244,2.2981,450.1
1993.48,16.02,9.36,37192497,1407087,1202314,2.2981,450.1
1993.48,16.02,9.36,37193766,1407126,1203315,2.2981,450.1
1993.48,16.02,9.36,37193766,1406981,1201555,2.2981,450.1
1988.05,16.03,9.36,37196393,1407105,1202871,2.2981,450.1
2026.07,16.04,9.36,37198161,1407104,1202671,2.2981,450.1
2036.93,16.04,9.39,37196172,1407104,1203268,2.2981,450.1
2031.5,16.06,9.41,37205893,1406492,1201089,2.2981,450.1
2026.07,16.06,9.41,37207742,1406699,1203925,2.2981,450.1
2020.64,16.07,9.41,37213842,1407051,1205889,2.2981,450.1
2020.64,16.07,9.41,37216335,1407281,1203750,2.2981,450.1
2004.34,16.08,9.4,37216335,1407253,1203750,2.2981,450.1
2004.34,16.08,9.4,37216335,1407519,1205257,2.2981,450.1
2004.34,16.08,9.38,37214420,1407475,1205257,2.2981,450.1
2004.34,16.09,9.38,37216565,1407423,1205437,2.2981,450.1
2004.34,16.09,9.38,37215465,1407471,1205622,2.2981,450.1
2004.34,16.09,9.38,37216644,1407575,1205464,2.2981,450.1
2004.34,16.1,9.38,37217500,1407658,1205904,2.2981,450.1
2004.34,16.11,9.4,37218245,1407556,1207056,2.2981,450.1
2004.34,16.11,9.4,37220089,1407556,1206047,2.2981,450.1
2004.34,16.12,9.43,37219627,1407322,1205461,2.2981,450.1
1998.91,16.12,9.43,37219486,1407374,1208493,2.2981,450.1
2004.34,16.13,9.43,37220223,1407577,1206063,2.2981,450.1
2004.34,16.13,9.43,37220897,1407447,1207193,2.2981,450.1
1998.91,16.14,9.43,37220897,1407447,1207322,2.2981,450.1
1998.91,16.15,9.43,37226562,1407510,1208844,2.2981,450.1
