mpx5500_pressure_hpa;rh_temp_c;humidity_pct;lpl_signal;mpl_signal;spl_signal;ch4_conc_mol_m3;co2_conc_mol_m3;ch4_ppm;co2_ppm
1320.08;15.17;8.13;37006192;1417079;1160856;223.67310367600004;43808.043150675614;2.2981;450.1
1320.08;15.18;8.17;36991529;1415258;1160759;223.66534613763508;43806.5237790129;2.2981;450.1
1428.7;15.19;8.2;37013479;1415995;1162676;234.07029994542597;45844.411472710606;2.2981;450.1
1472.14;15.19;8.28;37025309;1413889;1165066;238.23461735937096;46660.02405180492;2.2981;450.1
1493.86;15.23;8.33;37043528;1414408;1167054;240.2834427178356;47061.30175679815;2.2981;450.1
1510.16;15.24;8.33;37052775;1414577;1167054;241.8374175783647;47365.65930639309;2.2981;450.1
1618.77;15.27;8.33;37052775;1413934;1167054;252.22112709432628;49399.38614732008;2.2981;450.1
1656.78;15.29;8.38;37054938;1413173;1170505;255.84615292362483;50109.37445321072;2.2981;450.1
1711.09;15.31;8.42;37062900;1413173;1170505;261.03260371105273;51125.17946579559;2.2981;450.1
1770.83;15.33;8.42;37075025;1412074;1170505;266.7386224143174;52242.74572415659;2.2981;450.1
1830.56;15.35;8.42;37081999;1411633;1175824;272.44289188351985;53359.96938199917;2.2981;450.1
1928.32;15.38;8.48;37081999;1410717;1177762;281.7800246837801;55188.71637882139;2.2981;450.1
1939.18;15.42;8.51;37109311;1411066;1179880;282.78121545134724;55384.8070469742;2.2981;450.1
1971.76;15.45;8.47;37126289;1412298;1181843;285.8722446470823;55990.208135264686;2.2981;450.1
1988.05;15.45;8.45;37127868;1412236;1181570;287.43245681332047;56295.7873076348;2.2981;450.1
1998.91;15.49;8.45;37132060;1412236;1181570;288.43262145616853;56491.67700161938;2.2981;450.1
1993.48;15.5;8.45;37132060;1413057;1184373;287.90264835169364;56387.877822156275;2.2981;450.1
1988.05;15.52;8.44;37147494;1413681;1185177;287.3627569069327;56282.13606188174;2.2981;450.1
2015.21;15.53;8.44;37142184;1413145;1185592;289.9533930357615;56789.53144136298;2.2981;450.1
2020.64;15.54;8.44;37141503;1413052;1185449;290.46325786122054;56889.39226462528;2.2981;450.1
2009.78;15.55;8.45;37143334;1413052;1185449;289.41341562581056;56683.772844165775;2.2981;450.1
2004.34;15.56;8.45;37149393;1413507;1186024;288.88256128121856;56579.80106726273;2.2981;450.1
1998.91;15.57;8.48;37151483;1413615;1185203;288.35270108447105;56476.02400161892;2.2981;450.1
1998.91;15.58;8.48;37151483;1412771;1202227;288.3427141520053;56474.06798651826;2.2981;450.1
1998.91;15.58;8.48;37147928;1413408;1187016;288.3427141520053;56474.06798651826;2.2981;450.1
1993.48;15.59;8.5;37147928;1413375;1187720;287.81290935345424;56370.30177102379;2.2981;450.1
1993.48;15.6;8.5;37142354;1413060;1187356;287.80294180680994;56368.34955278064;2.2981;450.1
1998.91;15.6;8.5;37142645;1412964;1193191;288.32274236228045;56470.15636276161;2.2981;450.1
1993.48;15.6;8.56;37142220;1412964;1193191;287.80294180680994;56368.34955278064;2.2981;450.1
1998.91;15.61;8.58;37141793;1412945;1193191;288.3127575048777;56468.200754077494;2.2981;450.1
1998.91;15.62;8.6;37142127;1412582;1193191;288.3027733390189;56466.2452808374;2.2981;450.1
1998.91;15.63;8.6;37140919;1412582;1180298;288.2927898646322;56464.289943027274;2.2981;450.1
1998.91;15.64;8.65;37141966;1412127;1188273;288.28280708164584;56462.33474063304;2.2981;450.1
1993.48;15.65;8.67;37141966;1412111;1187464;287.75311442768833;56358.59048949242;2.2981;450.1
1993.48;15.66;8.7;37141154;1411829;1188114;287.74315102218196;56356.63908232197;2.2981;450.1
1993.48;15.66;8.7;37141890;1411545;1194269;287.74315102218196;56356.63908232197;2.2981;450.1
1998.91;15.66;8.71;37141890;1411512;1187116;288.2628435895865;56458.42474203599;2.2981;450.1
2004.34;15.67;8.74;37140403;1411377;1189084;288.7725374541257;56558.25208132893;2.2981;450.1
2004.34;15.68;8.74;37141964;1410925;1189084;288.76253944361946;56556.293896511525;2.2981;450.1
